"count","presence","grass","cats","observer","fire","pesticides"
1,1,2.21208950947039,8.4113796427846,"obs2",4,0.183365514967591
2,1,4.14773010206409,6.69556458946317,"obs2",2,2.0947055646684
6,1,3.38884219597094,0.873053194954991,"obs1",2,3.87704568216577
9,1,11.9596026025247,3.46470140153542,"obs1",2,0.764865904347971
2,1,9.74388483213261,0.973852325696498,"obs3",2,0.151437951717526
4,0,10.3819523488637,4.84453445766121,"obs1",1,1.88113544834778
4,0,7.15743506653234,5.14880435308442,"obs2",2,0.712715082336217
3,0,3.7945966469124,2.77626479975879,"obs1",2,1.90099543891847
0,0,2.98206655471586,6.4451702684164,"obs3",1,2.24362068809569
0,0,1.71332577592693,9.15848589502275,"obs2",2,2.63737767119892
8,1,17.6432172812056,3.39850614545867,"obs3",2,2.96724122483283
5,1,17.0541623386089,6.86918593710288,"obs2",1,2.75535962893628
1,0,6.85602107574232,9.58456901833415,"obs2",4,3.80964974989183
1,0,3.43479313678108,1.48885953240097,"obs3",3,0.786900679813698
1,1,7.28479756624438,9.31262734578922,"obs1",1,1.70465151662938
17,1,10.6599589311518,1.98030260857195,"obs1",2,0.185016944305971
2,1,6.54417935875244,9.54492691671476,"obs2",1,2.84192179096863
17,1,16.7852877168916,4.08600775059313,"obs2",5,1.25450287829153
2,1,7.06106713344343,0.364974900148809,"obs3",5,2.57428203010932
14,1,15.5406429038849,3.15892834682018,"obs2",4,2.58953484008089
0,1,8.1923036838416,6.82771287392825,"obs2",2,1.82617170154117
6,1,17.6094183197711,3.21157134603709,"obs3",3,0.66998517839238
0,0,6.26584477955475,9.41641801502556,"obs1",5,2.45735304430127
2,1,16.0254088968504,7.2182616405189,"obs1",3,2.1283550770022
0,0,4.99342910735868,4.63332017650828,"obs3",2,1.22494292096235
1,1,8.15935434517451,7.73719239514321,"obs1",2,3.26259573223069
1,0,1.92193573433906,6.67809853330255,"obs3",3,3.3436100918334
14,1,16.0950897531584,5.68933248054236,"obs2",3,1.39048801735044
0,1,12.7822945516091,9.05613391660154,"obs3",3,3.39550619013608
0,1,3.9589469472412,3.91456261044368,"obs3",5,2.599231377244
2,1,5.85320111503825,5.70296389749274,"obs1",2,2.40823927684687
2,0,18.6474843539763,9.19577127089724,"obs3",5,2.910254803719
0,1,7.6851632266771,9.45525715826079,"obs2",4,1.59170244936831
10,1,13.6033836405259,3.00082799280062,"obs1",5,1.56936217332259
0,0,16.1877430318855,9.11174074281007,"obs3",3,0.246210531331599
7,1,13.3529763321858,0.960269758943468,"obs3",4,1.72253891825676
0,0,19.1611598965246,9.43289221264422,"obs3",5,2.67141727847047
1,1,8.43417468061671,5.41003762045875,"obs3",2,2.67655534204096
0,0,17.3906307381112,8.26684299157932,"obs3",5,2.74167383671738
0,1,3.08440893399529,4.51458168914542,"obs3",4,2.86386938532814
1,1,13.715370179154,9.07855225959793,"obs2",3,1.30838999175467
12,1,13.1661205086857,2.5241274992004,"obs1",4,4.00273790117353
2,1,7.49968997668475,7.69842962035909,"obs1",5,1.11254797084257
4,1,18.601727373898,7.98519364790991,"obs1",2,4.51759583433159
14,1,5.64483108487912,1.33444782812148,"obs1",2,3.21225020452403
10,0,3.14342421945184,1.24193189665675,"obs1",4,3.02919337642379
0,0,3.12071360088885,5.72856402723119,"obs3",5,3.02686500945129
18,1,18.1664221771061,3.920482697431,"obs1",1,3.8922252273187
3,1,18.2727043768391,9.7493329946883,"obs2",4,1.26493047690019
4,0,15.2101841992699,9.53165155369788,"obs1",3,1.11191361793317
